Processor model	Implict	Type	Opcode	Mnemonic	2200 I INSTRUCTION TIME	2200 II INSTRUCTION TIME	5500 INSTRUCTION TIME
2200-1	0	0	277	CPM	520	4.8	2.4
5500	111	0	277	CPMB	0	0	3.4
5500	62	0	277	CPMC	0	0	3.4
5500	113	0	277	CPMD	0	0	3.4
5500	174	0	277	CPME	0	0	3.4
5500	115	0	277	CPMH	0	0	3.4
5500	176	0	277	CPML	0	0	3.4
5500	22	0	277	CPMX	0	0	3.4
5500	0	0	032	SRE	0	0	1.4
5500	111	0	032	SREB	0	0	2.4
5500	62	0	032	SREC	0	0	2.4
5500	113	0	032	SRED	0	0	2.4
5500	174	0	032	SREE	0	0	2.4
5500	115	0	032	SREH	0	0	2.4
5500	176	0	032	SREL	0	0	2.4
5500	22	0	032	SREX	0	0	2.4
2200-1	0	2	104	JMP	VAR	6.4	2.8
2200-1	0	2	140	JTC	VAR/24	6.4/4.8	2.8/1.4
2200-1	0	2	150	JTZ	VAR/24	6.4/4.8	2.8/1.4
2200-1	0	2	160	JTS	VAR/24	6.4/4.8	2.8/1.4
2200-1	0	2	170	JTP	VAR/24	6.4/4.8	2.8/1.4
2200-1	0	2	100	JFC	VAR/24	6.4/4.8	2.8/1.4
2200-1	0	2	110	JFZ	VAR/24	6.4/4.8	2.8/1.4
2200-1	0	2	120	JFS	VAR/24	6.4/4.8	2.8/1.4
2200-1	0	2	130	JFP	VAR/24	6.4/4.8	2.8/1.4
2200-1	0	2	106	CALL	VAR	6.4	2.8
2200-1	0	2	142	CTC	VAR/24	6.4/4.8	3.2/1.6
2200-1	0	2	152	CTZ	VAR/24	6.4/4.8	3.2/1.6
2200-1	0	2	162	CTS	VAR/24	6.4/4.8	3.2/1.6
2200-1	0	2	172	CTP	VAR/24	6.4/4.8	3.2/1.6
2200-1	0	2	102	CFC	VAR/24	6.4/4.8	3.2/1.6
2200-1	0	2	112	CFZ	VAR/24	6.4/4.8	3.2/1.6
2200-1	0	2	122	CFS	VAR/24	6.4/4.8	3.2/1.6
2200-1	0	2	132	CFP	VAR/24	6.4/4.8	3.2/1.6
2200-1	0	0	007	RET	VAR	3.2	1.8
2200-1	0	0	043	RTC	VAR/16	3.2	2.0/1.0
2200-1	0	0	053	RTZ	VAR/16	3.2	2.0/1.0
2200-1	0	0	063	RTS	VAR/16	3.2	2.0/1.0
2200-1	0	0	073	RTP	VAR/16	3.2	2.0/1.0
2200-1	0	0	003	RFC	VAR/16	3.2	2.0/1.0
2200-1	0	0	013	RFZ	VAR/16	3.2	2.0/1.0
2200-1	0	0	023	RFS	VAR/16	3.2	2.0/1.0
2200-1	0	0	033	RFP	VAR/16	3.2	2.0/1.0
2200-1	0	0	012	SRC	16	3.2	1.4
5500	111	0	012	SRCB	0	0	2.4
5500	62	0	012	SRCC	0	0	2.4
5500	113	0	012	SRCD	0	0	2.4
5500	174	0	012	SRCE	0	0	2.4
5500	115	0	012	SRCH	0	0	2.4
5500	176	0	012	SRCL	0	0	2.4
5500	22	0	012	SRCX	0	0	2.4
2200-1	0	0	002	SLC	16	3.2	1.4
5500	111	0	002	SLCB	0	0	2.4
5500	62	0	002	SLCC	0	0	2.4
5500	113	0	002	SLCD	0	0	2.4
5500	174	0	002	SLCE	0	0	2.4
5500	115	0	002	SLCH	0	0	2.4
5500	176	0	002	SLCL	0	0	2.4
5500	22	0	002	SLCX	0	0	2.4
2200-1	0	0	000	HALT	0	0	0
2200-1	0	0	001	HALT	0	0	0
2200-1	0	0	101	INPUT	16	9.6	5
5500	111	0	101	INPUT B	0	0	6
5500	62	0	101	INPUT C	0	0	6
5500	113	0	101	INPUT D	0	0	6
5500	174	0	101	INPUT E	0	0	6
5500	115	0	101	INPUT H	0	0	6
5500	176	0	101	INPUT L	0	0	6
5500	22	0	101	INPUT X	0	0	6
2200-2	0	0	060	POP	0	4.8	2.2
5500	62	0	060	POP BC	0	0	3
5500	174	0	060	POP DE	0	0	3
5500	22	0	060	POP XA	0	0	3
2200-2	0	0	070	PUSH	0	3.2	1.8
5500	62	0	070	PUSH BC	0	0	2.6
5500	174	0	070	PUSH DE	0	0	2.6
5500	22	0	070	PUSH XA	0	0	2.6
5500	0	2	051	PUSH			
2200-2	0	0	050	EI	0	3.2	1.4
2200-2	0	0	040	DI	0	3.2	1.4
2200-2	0	0	030	ALPHA	0	3.2	1.4
2200-2	0	0	020	BETA	0	3.2	1.4
2200-1	0	0	121	EX_ADR	16	9.6	9.2
5500	111	0	121	EX_ADR B	0	0	10.2
5500	62	0	121	EX_ADR C	0	0	10.2
5500	113	0	121	EX_ADR D	0	0	10.2
5500	174	0	121	EX_ADR E	0	0	10.2
5500	115	0	121	EX_ADR H	0	0	10.2
5500	176	0	121	EX_ADR L	0	0	10.2
5500	22	0	121	EX_ADR X	0	0	10.2
2200-1	0	0	123	EX_STATUS	16	9.6	9.2
5500	111	0	123	EX_STATUS B	0	0	10.2
5500	62	0	123	EX_STATUS C	0	0	10.2
5500	113	0	123	EX_STATUS D	0	0	10.2
5500	174	0	123	EX_STATUS E	0	0	10.2
5500	115	0	123	EX_STATUS H	0	0	10.2
5500	176	0	123	EX_STATUS L	0	0	10.2
5500	22	0	123	EX_STATUS X	0	0	10.2
2200-1	0	0	125	EX_DATA	16	9.6	9.2
5500	111	0	125	EX_DATA B	0	0	10.2
5500	62	0	125	EX_DATA C	0	0	10.2
5500	113	0	125	EX_DATA D	0	0	10.2
5500	174	0	125	EX_DATA E	0	0	10.2
5500	115	0	125	EX_DATA H	0	0	10.2
5500	176	0	125	EX_DATA L	0	0	10.2
5500	22	0	125	EX_DATA X	0	0	10.2
2200-1	0	0	127	EX_WRITE	16	9.6	9.2
5500	111	0	127	EX_WRITE B	0	0	10.2
5500	62	0	127	EX_WRITE C	0	0	10.2
5500	113	0	127	EX_WRITE D	0	0	10.2
5500	174	0	127	EX_WRITE E	0	0	10.2
5500	115	0	127	EX_WRITE H	0	0	10.2
5500	176	0	127	EX_WRITE L	0	0	10.2
5500	22	0	127	EX_WRITE X	0	0	10.2
2200-1	0	0	131	EX_COM1	16	9.6	9.2
5500	111	0	131	EX_COM1 B	0	0	10.2
5500	62	0	131	EX_COM1 C	0	0	10.2
